rho,K,IV_mean,IV_var,Bias
-0.8,0.2,0.4871833769763547,2.33407565687657e-06,0.004399002669333463
-0.8,0.4,0.3838243077143943,4.347302928406882e-07,0.0015464993003969085
-0.8,0.8,0.26991293313054365,6.679281157103752e-08,0.00040769210511604204
-0.8,1.0,0.23121057970442876,3.672272257042627e-08,0.0002529709935202573
-0.8,1.2,0.199526836878702,2.4614391469155896e-08,0.0001647128486556848
-0.8,1.6,0.15364122828561502,1.5137689823794443e-08,3.671913796043924e-05
-0.8,2.0,0.13034867931687427,1.962047996648179e-08,2.9849116688268618e-05
-0.5,0.2,0.4243760230145102,4.4141218206103344e-06,0.0006734316386136641
-0.5,0.4,0.3429532436038658,8.097267867026055e-07,0.00030158025775456343
-0.5,0.8,0.2608471701241988,1.3903625461517935e-07,0.00010396232700643493
-0.5,1.0,0.2362533037947815,8.4250085329829e-08,6.826552861285973e-05
-0.5,1.2,0.21834503201299696,5.978669341467906e-08,4.0010064647377774e-05
-0.5,1.6,0.19738375734027686,4.118944462257244e-08,-7.227233725065618e-06
-0.5,2.0,0.1891837939749084,4.4183339904262124e-08,-1.9082146626880903e-05
0.0,0.020000000000000004,3.0701859440440185,0.000821356969206698,0.14788033127510047
0.0,0.04000000000000001,2.6753248121537325,0.0001949307644894728,0.06894326685390118
0.0,0.05,2.5523530642409766,0.0001257853482393247,0.053997191592640714
0.0,0.06,2.4524501233159297,8.869358458289125e-05,0.04451160921066988
0.0,0.08000000000000002,2.2957294219573843,5.1737894018967116e-05,0.031962332059547904
0.0,0.1,2.175300354222125,3.448719577898393e-05,0.02417384273428702
